Element, g_debug
574, -2166.36011
575, -617.89758
576,  39966.59375
577, -9396.73047
578,  2221.9187
579,  15735.92676
580, -1876.49109
581, -1375.6438
582,  10573.87109
583, -1122.17542
584, -41.28516
585,  29578.11133
586, -11467.93164
587, -793.60583
588,  14978.86328
589, -2837.64746
590,  767.22559
591,  14266.54785
592, -2719.17212
593,  1170.48816
594,  37559.56641
595, -4280.91113
596, -1578.01428
597,  46379.69922
598, -6306.32275
599,  240.55066
600,  32639.45117
601, -11997.22266
602,  357.36987
603,  27448.20703
604, -8525.2998
605, -1192.18274
606,  52854.71875
607, -4542.37451
608, -1536.69177
609,  52246.0625
610, -4475.38086
611,  746.67255
612,  13337.16797
613, -3671.01416
614, -360.18234
615,  63319.13281
616, -20513.42383
617, -14938.10352
618,  3526.87891
619,  189.68025
620, -513.63379
621,  19044.70703
622,  19.73336
623, -4746.0166
624,  26275.48438
625, -8594.60938
626, -692.65387
627,  4973.25928
628, -466.79828
629, -427.20282
630,  22939.54492
631, -4598.80029
632, -2183.76416
633,  15429.12793
634, -2055.80737
635, -2233.72461
636,  27840.55273
637, -12556.54883
638, -2625.40649
639,  7452.29395
640, -1995.01941
641, -1513.08313
642,  14153.78711
643, -5440.94629
644, -2371.67139
645,  32774.22656
646, -6532.85596
647, -5282.38672
648,  19363.18945
649, -3689.51196
650, -908.48828
651,  16494.4043
652,  426.061
653, -3260.80762
654,  6034.02783
655, -2410.8811
656, -976.77283
657,  11746.29102
658, -2098.16089
659, -1571.29346
660,  18042.61523
661,  902.01752
662, -3852.19556
663,  6320.479
664, -2021.03235
665, -1343.67822
666,  17201.16602
667, -3477.39087
668, -2094.04126
669,  19028.03125
670, -3101.63867
671, -3162.8667
672,  17230.10352
673, -5771.604
674, -1800.09351
675,  12691.92773
676, -2447.55786
677, -1126.93335
678,  1817.86194
679,  468.64255
680, -90.379
681,  38219.59375
682, -10062.68555
683,  9305.74219
684,  8267.56934
685,  1313.13843
686, -1807.45654
687,  50025.20313
688, -9471.96973
689, -4902.56543
690,  20962.58398
691, -2178.12378
692, -3416.91821
693,  39741.81641
694, -15005.98242
695, -2834.53906
696,  10818.92676
697, -2289.71826
698, -1013.40222
699,  49239.76953
700, -13493.18848
701, -5008.85254
702,  39089.78125
703, -17169.87305
704,  3389.33716
705,  20865.73438
706, -5997.42969
707,  2494.17773
708,  48604.74219
709, -5222.05225
710, -5581.5376
711,  14566.57324
712, -3907.21826
